id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30453053,Beautiful apartment in the heart of Amsterdam Oost,1442073,Johanna,,Oostelijk Havengebied - Indische Buurt,52.36367177024278,4.9365414841079795,Entire home/apt,166,3,0,,,2,42
30453114,Spacious light apartment close to tram/metro,10758306,Raine,,Buitenveldert - Zuidas,52.33252472028641,4.869186618109368,Entire home/apt,190,3,0,,,1,0
30453439,Lovely 2-person apartment near Vondelpark!,48225346,Izzy,,De Baarsjes - Oud-West,52.36242637459659,4.8662001520924925,Entire home/apt,180,2,0,,,1,0
30455294,"Cosy, private apartment near Vondelpark, 2 persons",7334036,Floris,,Zuid,52.35221677984901,4.85060361121304,Entire home/apt,100,2,0,,,1,4
30455357,Spacious Dam square City Apt. ( privateTerrace),201739348,Anand,,Centrum-West,52.3757343787803,4.892564933033836,Private room,349,1,1,2018-12-28,1,2,33
30456037,Stylish and cosy Family apartment in De Pijp,3256471,Dilesh,,De Pijp - Rivierenbuurt,52.352640591073865,4.899309253767075,Entire home/apt,200,3,2,2019-01-06,2,1,30
30456917,Warm and cosy home in Amsterdam South,7084154,Evelien,,Zuid,52.34536865906668,4.862096120839843,Private room,98,1,0,,,1,331
30457045,Central 1Bed Apt in converted soap factory,5844390,Nadim,,Centrum-West,52.376067082820306,4.898072716938163,Entire home/apt,250,5,0,,,1,88
30457294,Watergraafsmeer home studio,53596514,María,,Watergraafsmeer,52.353043229333046,4.926447255052249,Entire home/apt,58,30,1,2018-12-10,0.86,1,31
30457428,Spacious modern apartment in De Pijp area,77779884,Misha,,De Pijp - Rivierenbuurt,52.35064825417518,4.902806699763744,Entire home/apt,169,3,1,2019-01-01,1,1,18
30457461,Single bedroom available in De Pijp,82239979,Kane,,De Pijp - Rivierenbuurt,52.350660041497484,4.889800716046844,Private room,45,1,4,2019-01-06,4,1,0
30457807,Top location private room Parkview Apartment,22469603,Marielle,,Westerpark,52.384965776064384,4.879430819769309,Private room,55,1,0,,,3,196
30458162,"Romantic 1 bedroom apartment in ""de pijp"".",22801518,Mick,,De Pijp - Rivierenbuurt,52.353403822210026,4.900693343570805,Entire home/apt,119,3,2,2019-01-04,2,2,0
30460135,Ideal Location in Amsterdam - Comfortable,167389140,Ryan,,Zuid,52.35011176137911,4.851408332621526,Entire home/apt,200,1,0,,,1,92
30461008,Sleeping over the roofs of Amsterdam!,20208597,Daniela,,Zuid,52.35416590692224,4.85530614372305,Private room,60,3,0,,,1,42
30461243,Luxury room,228692066,Charline,,Zuid,52.34826459746253,4.878122514520507,Private room,50,1,3,2019-01-01,3,1,77
30464292,"Cozy, quiet, and green apartment in Amsterdam",25977659,Markus,,Slotervaart,52.36750084538589,4.836509411559865,Private room,60,3,1,2019-01-01,1,1,84
30464383,Spacious room in trendy apartment,51939112,Jira,,De Baarsjes - Oud-West,52.37142587855033,4.854471734565013,Private room,80,3,0,,,2,69
30464434,Spacious 1930s Apartment Close to City Center,16936945,Mark,,De Pijp - Rivierenbuurt,52.34457836785981,4.905742903373537,Entire home/apt,126,2,3,2018-12-28,3,1,12
30464823,Canal Apartmant in Joordan,210545662,Umut,,Centrum-West,52.369877779395544,4.878340029531856,Entire home/apt,200,3,0,,,1,43
30465058,Nice room in trendy neighbourhood,51939112,Jira,,De Baarsjes - Oud-West,52.37224363437607,4.854157312624271,Private room,70,3,4,2018-12-28,3.43,2,93
30465134,Relaxed and accessible studio,9718395,Shahab,,Watergraafsmeer,52.33838620550247,4.919594589888635,Entire home/apt,55,10,0,,,1,35
30465969,Lovely spacious apartment near Vondelpark & centre,41444633,Mariem,,Zuid,52.349014305020845,4.8488805174146865,Entire home/apt,110,2,1,2018-12-29,1,1,256
30466984,Top Location private room Westerpark,22469603,Marielle,,Westerpark,52.384290865698006,4.8796379146231486,Private room,55,1,2,2018-12-09,1.62,3,352
30467382,Stylish family apartment in the museums district,45057037,Alexandra,,Zuid,52.35446204180693,4.863723565070702,Entire home/apt,420,3,1,2018-12-30,1,1,24
30467645,Fab ground level apartment in city centre,8467383,Coen,,Westerpark,52.377800373170594,4.875047314021278,Entire home/apt,190,3,1,2019-01-03,1,1,0
30467661,Amsterdam with family or friends !,227682342,Emily,,De Pijp - Rivierenbuurt,52.34552114564976,4.8965557634148915,Entire home/apt,350,3,0,,,1,8
30476724,100m2 apartment near RAI / SOUTH + FREE PARKING,24378925,Jacques,,Buitenveldert - Zuidas,52.327901105614764,4.881844008017584,Entire home/apt,200,2,0,,,1,222
30486511,Master bedroom (30m2) luxury apartment in De Pijp!,223507896,Dylan,,De Pijp - Rivierenbuurt,52.35457535311455,4.903627869084568,Private room,179,1,0,,,3,44
30488556,Bright & Cosy apartment at great location,228828122,Hanneke,,De Baarsjes - Oud-West,52.36242248962823,4.8575727195419045,Entire home/apt,98,5,1,2019-01-01,1,1,43
30490546,"Cozy room, 7 minutes to city center.",212222791,Felix,,Buitenveldert - Zuidas,52.33315231902759,4.8823108252348675,Private room,45,1,1,2018-12-16,1,1,35
30490854,Nice appartment Amsterdam South near by Vondelpark,147243872,Robert Jan,,Zuid,52.35247182328383,4.846490567875243,Entire home/apt,120,3,0,,,1,10
30491936,Spacious and light appartment in Museum Quarter,92242408,Michiel,,Zuid,52.35629116633577,4.87308381152905,Entire home/apt,223,3,1,2019-01-02,1,1,0
30492516,"Two rooms + bathroom B&B in Amsterdam, the Jordaan",228853480,Aly And Jeroen,,Centrum-West,52.37713927048803,4.88421432228789,Private room,155,2,3,2019-01-01,3,1,5
30492613,Homestay Amsterdam,7125540,Walter Albert,,Oud-Oost,52.363083962660795,4.925547585980135,Private room,60,2,0,,,1,20
30492673,Modern and cosy apartment in central location,228853872,Zoe,,Centrum-Oost,52.36897985420278,4.929416068865637,Entire home/apt,100,1,2,2019-01-01,2,1,0
30492993,"Luxury ""Blue sky"" Apartment",168554686,Olga,,Zuid,52.358089241320094,4.885274168688947,Entire home/apt,350,1,7,2019-01-09,7,1,290
30495022,"Bright apartment near Centre, Rai & Zuidas",184818644,Orsetta,,Buitenveldert - Zuidas,52.33017705019206,4.885511571796378,Entire home/apt,70,2,0,,,1,0
30495375,90 sqm Jordaan apartment with roof terrace!,10698721,Clemens & Mariam,,Centrum-West,52.37515735912135,4.880886690641691,Entire home/apt,350,3,0,,,1,60
30495382,Spacious apartment with canal view,62649828,Alexander,,De Baarsjes - Oud-West,52.37071885945172,4.873563111470379,Entire home/apt,100,3,4,2019-01-06,3.43,2,0
30495867,"Apartment in the City Centre, Leidseplein",228874276,Alexander,,Centrum-Oost,52.363768941002164,4.88571917109759,Entire home/apt,140,1,0,,,2,35
30496268,Canal-front living  in the heart of Amsterdam!,43969885,Toni,,De Baarsjes - Oud-West,52.368286231337045,4.874490299547744,Private room,45,2,1,2018-12-11,0.88,1,48
30498473,Large and cozy apartment in the heart of Amsterdam,40359004,Lisa,,De Baarsjes - Oud-West,52.36212641414269,4.877348943682379,Entire home/apt,425,3,1,2018-12-30,1,1,33
30500511,PRIVATE SEPARATE BR IN MODERN VILLA ALL AMENITIES,19177134,Nikki,,IJburg - Zeeburgereiland,52.36208010290842,4.981054220850185,Private room,95,2,0,,,2,31
30504115,Cosy private room in a lively+lovely neighborhood,7134355,Michiel,,Oud-Oost,52.362546768768745,4.926636711385544,Private room,49,1,1,2018-12-16,1,2,24
30504818,Cozy 2 bedroom Apartment with balcony in Amsterdam,67057707,Valesca,,De Baarsjes - Oud-West,52.37000075700233,4.856063031809528,Entire home/apt,73,1,1,2018-12-30,1,1,7
30505312,Great place to discover Amsterdam & Noord,1619130,Laurens,,Oud-Noord,52.395882605433115,4.916240187237017,Entire home/apt,95,3,1,2019-01-01,1,1,5
30514273,B&B Het Kabinet,223790843,Jan Willem,,De Pijp - Rivierenbuurt,52.355633916437206,4.9005598568674955,Private room,150,1,0,,,2,282
30516580,NEW Little Ibiza in Amsterdam,23885056,Alexander,,IJburg - Zeeburgereiland,52.36120851181293,4.980669843671204,Entire home/apt,100,3,0,,,1,0
30518040,Great big family house in the pijp area,218619358,Hanne,,De Pijp - Rivierenbuurt,52.352407758119945,4.895514942125957,Entire home/apt,299,2,1,2019-01-05,1,1,2
30519382,Quiet and cosy apartment close by Amstel River,229023758,Marika,,Watergraafsmeer,52.34391977784195,4.92502566830209,Entire home/apt,92,2,2,2019-01-01,1.67,1,0
30520614,♥♥Sunny&cozy apartment in heart of BoLo♥♥,119731851,Marlot,,Bos en Lommer,52.37942145472475,4.848764473521573,Entire home/apt,100,2,0,,,1,3
30522746,"Nice apartment for 3p. near Amstel, Rai & Pijp",84453740,David,,De Pijp - Rivierenbuurt,52.34377994782454,4.91204956055201,Entire home/apt,53,2,2,2019-01-05,2,17,3
30523692,Cute apartment in peaceful surroundings,84453740,David,,Zuid,52.34673713573044,4.861742611493027,Entire home/apt,59,2,1,2018-12-30,1,17,1
30523937,Cozy apartment for 2 in South area,84453740,David,,Zuid,52.346964753559,4.861896806663562,Entire home/apt,59,2,1,2018-12-30,1,17,0
30525429,★ On The RedLight Home  ★,32252848,Tie,,Centrum-West,52.37396193922175,4.899847251296997,Entire home/apt,212,2,4,2019-01-06,3.00,2,3
30526996,Nice apartment near airport and city center,97270636,Roxanne,,Slotervaart,52.34913872757411,4.833209372913693,Entire home/apt,180,1,0,,,1,8
30527314,Amazing cozy holiday home in Amsterdam,38855365,Peter,,De Pijp - Rivierenbuurt,52.35574832693641,4.901482085586503,Entire home/apt,87,30,0,,,1,0
30528076,Super Spacious bedroom in Central Amsterdam,61840958,Daniel,,Centrum-Oost,52.37349745215198,4.903595260592942,Private room,71,2,1,2018-12-31,1,1,5
